MISSION,MISSION STATEMENT,GOAL,GOAL STATEMENT,ACTION,ACTION STATEMENT,PROGRAMME,REPORT SUMMARY,Action Formal Stakeholder,Formal Stakeholder,Action Category,Report Category
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Food Waste Prevention Roadmap (2023 – 2025),Actively involved in implementing the National Food Waste Prevention Roadmap (2023-2025).,Retailers,Environmental Protection Agency,Processors,State Agencies 
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Food Waste Prevention Roadmap (2023 – 2025),Households are actively involved in the programme through their contribution to food waste generation and prevention efforts.,Retailers,Households,Processors,Civil Society
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Food Waste Prevention Roadmap (2023 – 2025),Actively involved in food waste prevention efforts as part of the National Food Waste Prevention Roadmap.,Retailers,Processing And Manufacturing Sector,Processors,Processors
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Food Waste Prevention Roadmap (2023 – 2025),Restaurants are involved in the programme as a key sector contributing to food waste that the National Food Waste Prevention Roadmap aims to address.,Retailers,Restaurants,Sales And Retail,Sales And Retail
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Food Waste Prevention Roadmap (2023 – 2025),Actively involved in food waste prevention efforts as part of the food supply chain.,Retailers,Food Service Providers,Sales And Retail,Sales And Retail
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Food Waste Prevention Roadmap (2023 – 2025),Actively involved in food waste prevention efforts as part of the food supply chain.,Retailers,Primary Producers,Sales And Retail,Small Producers
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Food Waste Prevention Roadmap (2023 – 2025),No relevant context found.,Retailers,Retail And Other Distribution Of Food,Sales And Retail,Sales And Retail
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Food Waste Prevention Roadmap (2023 – 2025),Actively involved in setting and monitoring commitments for food waste reduction in alignment with the Sustainable Development Goals.,Retailers,United Nations,Sales And Retail,International Organisation
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Food Waste Prevention Roadmap (2023 – 2025),Actively involved in establishing and monitoring the National Food Waste Prevention Roadmap.,Retailers,European Union,Sales And Retail,International Organisation
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Food Waste Prevention Roadmap (2023 – 2025),Actively involved in implementing the National Food Waste Prevention Roadmap (2023-2025).,Customer Retail And Foodservice Members,Environmental Protection Agency,Sales And Retail,State Agencies 
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Food Waste Prevention Roadmap (2023 – 2025),Households are actively involved in the programme through their contribution to food waste generation and prevention efforts.,Customer Retail And Foodservice Members,Households,Sales And Retail,Civil Society
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Food Waste Prevention Roadmap (2023 – 2025),Actively involved in food waste prevention efforts as part of the National Food Waste Prevention Roadmap.,Customer Retail And Foodservice Members,Processing And Manufacturing Sector,Sales And Retail,Processors
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Food Waste Prevention Roadmap (2023 – 2025),Restaurants are involved in the programme as a key sector contributing to food waste prevention efforts.,Customer Retail And Foodservice Members,Restaurants,Sales And Retail,Sales And Retail
MISSION 1,"A Climate Smart,  Environmentally  Sustainable   Agri-Food Sector",MISSION 1 GOAL 6,"Embed the Agri-Food Sector in the Circular, Regenerative Bioeconomy",MISSION 1 GOAL 6 ACTION 6,"In line with the commitment in  the Waste Action Plan, work with  stakeholders to develop a National  Food Waste Prevention Roadmap that  sets out a series of actions to deliver  the reductions necessary to halve our  per capita food waste by 2030, meet  any other related targets, and promote  our transition to a circular economy.",National Food Waste Prevention Roadmap (2023 – 2025),Actively involved in food waste prevention efforts as part of the food supply chain.,Customer Retail And Foodservice Members,Food Service Providers,Sales And Retail,Sales And Retail
